,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
299,7,15,381,0.0,0.0,5,84583,0,0,1,-1,624.4,4,0,3,0.0,0.0,0,Philippe,0.0,14,7,169.4,226,False,550.4,0,0,0,0,1109,Joined Barcelona on 8/1,2018-01-01T15:31:18Z,91,0,0,0,84583.jpg,7.4,0,0,Coutinho,3.0,False,10.0,u,10,14,519.0,103,1531120,1,1730744,216,0.0,11.3,Coutinho,0
300,6,10,499,0.0,0.0,8,112338,0,0,-1,1,426.4,2,0,3,0.0,0.0,0,Emre,0.0,29,3,120.6,227,False,546.4,0,0,0,0,2089,Back injury - Unknown return date,2018-03-17T21:01:16Z,49,0,0,0,112338.jpg,3.5,0,0,Can,4.1,False,23.0,i,10,14,231.0,92,550090,20,730503,3154,0.0,18.8,Can,8
301,0,0,33,0.0,0.0,1,39155,0,0,-2,2,106.5,0,0,3,0.0,0.0,0,Adam,0.0,1,0,25.5,228,False,28.0,0,0,0,0,218,Thigh injury - Unknown return date,2018-03-31T13:01:18Z,73,0,0,0,39155.jpg,1.1,0,0,Lallana,0.3,False,20.0,i,10,14,122.0,12,9552,7,41610,31,0.0,1.6,Lallana,1
302,0,0,0,0.0,0.0,0,141921,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Oluwaseyi,0.0,0,0,0.0,229,False,0.0,0,0,0,0,0,Joined Fulham in season-long loan deal,2017-08-16T14:31:12Z,50,0,0,0,141921.jpg,0.0,0,0,Ojo,0.0,False,54.0,u,10,14,0.0,0,73,0,1518,1,0.0,0.0,Sheyi Ojo,0
303,8,8,477,100.0,75.0,14,110979,-1,1,-1,1,644.5,3,0,3,4.0,3.8,0,Sadio,3.5,23,10,212.9,230,False,643.6,0,0,0,0,2026,,2018-04-27T10:01:18Z,94,0,0,0,110979.jpg,5.3,1,0,Mané,8.7,False,19.0,a,10,14,842.0,142,1266915,500,2010104,40627,0.4,15.1,Mané,3
304,0,0,9,0.0,0.0,0,210237,0,0,-3,3,11.7,0,0,3,0.0,0.0,0,Marko,0.0,0,0,1.9,231,False,7.4,0,0,0,0,14,Season-long loan to Cardiff City,2018-01-19T09:29:28Z,42,0,0,0,210237.jpg,1.0,0,0,Grujic,0.4,False,16.0,u,10,14,0.0,3,52110,4,53074,60,0.0,0.7,Grujic,0
305,2,1,366,100.0,100.0,14,41733,0,0,-4,4,328.8,0,0,3,4.3,5.3,3,Georginio,3.8,22,1,101.3,232,False,309.0,0,0,0,0,2201,,2018-03-10T12:31:18Z,66,0,0,0,41733.jpg,2.6,0,0,Wijnaldum,2.2,False,5.0,a,10,14,374.0,80,58709,450,273015,562,0.6,12.1,Wijnaldum,1
306,0,0,0,100.0,100.0,0,182436,0,0,-3,3,0.0,0,0,3,0.5,1.5,0,Ben,0.0,0,0,0.0,233,False,0.0,0,0,0,0,0,,2018-03-02T14:01:16Z,42,0,0,0,182436.jpg,0.0,0,0,Woodburn,0.3,False,58.0,a,10,14,0.0,0,37150,589,34991,224,0.0,0.0,Woodburn,0
307,11,26,847,100.0,100.0,14,118748,-1,1,15,-15,890.1,11,0,3,5.0,6.0,3,Mohamed,4.5,28,31,433.6,234,True,1431.6,0,0,0,0,2732,,2018-04-04T20:31:18Z,105,0,1,0,118748.jpg,8.6,0,0,Salah,56.9,False,11.0,a,10,14,2018.0,291,4045571,5293,2457237,167788,0.4,27.5,Salah,0
308,8,29,748,100.0,100.0,15,92217,-1,1,10,-10,794.8,3,0,4,3.5,4.5,2,Roberto,3.0,31,15,299.3,235,True,932.0,0,0,0,0,2587,,2018-04-14T16:01:19Z,95,0,0,0,92217.jpg,5.1,0,0,Firmino,36.5,False,9.0,a,10,14,1266.0,177,4525859,10629,3707422,143595,0.3,18.6,Firmino,1
