FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Dale,Stephens,MID,BHA,4500000,0,87,2.28947368421053,5.08771929824561E-07,1.93333333333333E-05,0,0,6,50,0,0,0,0,0,0,0,0,0,87,0,0,0,0,2,0,10,0,3,11.5,0,0,0,0,0,3240,0,0,0,550,Watford,Man Utd,Liverpool,Fulham,Southampton,1.6,1.5,1.1,3.2,1.8,1.5,1.1,2,1.5,3.2,1.8,2.8,2.3,1.7,2.3,1.6,1.6,1.6,1.9,2.2,1.6,1.4,1.2,2.8,2,2.1,1.3,1.9,2.2,1.9,3.2,2.2,1.1,2.1,2.8,1.9,1.5,1.1,107.7
Jack,Stephens,DEF,SOU,4500000,0,58,4.19550489546105E-27,9.32334421213567E-34,1.28888888888889E-05,0,0,6,33,0,0,0,2,0,0,0,0,0,58,0,0,0,0,2,0,5,0,0,0.3,0,0,0,0,0,1980,0,0,1,360,Burnley,Everton,Leicester,Crystal Palace,Brighton,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9
Raheem,Sterling,MID,MCI,11000000,0,229,6.02631578947368,5.47846889952153E-07,2.08181818181818E-05,0,0,3,23,0,0,0,18,0,0,0,0,0,229,0,0,0,0,19,0,13,0,17,3.5,0,0,0,0,0,2584,0,0,1,701,Arsenal,Huddersfield,Wolverhampton,Newcastle,Fulham,6.7,8.5,7.5,7.8,8.6,7.5,7.7,5.3,8.2,5.6,8.6,6.9,7,8.3,7,6,8.6,8.6,7.5,7.5,6.5,8.6,7.4,6.7,7.9,7.2,7.5,8.2,7.1,8.1,5.7,7.5,8.6,7.5,6.8,7.1,8.6,6.6,329.7
,Steve Cook,DEF,BOU,4500000,0,83,2.18421052631579,4.85380116959064E-07,1.84444444444444E-05,0,0,5,53,0,0,0,2,0,0,0,0,0,83,0,0,0,0,9,0,5,0,1,0.9,0,1,0,0,0,2764,0,0,0,495,Cardiff City,West Ham,Everton,Chelsea,Leicester,3.1,1.4,2.1,1.8,1.7,1.5,2.1,1.9,2.2,2.7,1.9,1.4,1.8,1.4,1.9,2,2.7,2.4,1.6,1.5,2.3,1.6,1.9,2.2,2.7,1.6,3.1,1.4,1.8,1.4,1.8,1.3,1.9,1.9,3.1,1.7,2,1.6,120.6
John,Stones,DEF,MCI,5500000,0,70,5.06354039107368E-27,9.20643707467943E-34,1.27272727272727E-05,0,0,0,11,0,0,0,0,0,0,0,0,0,70,0,0,0,0,5,0,9,0,0,8.1,0,0,0,0,0,1301,0,0,0,334,Arsenal,Huddersfield,Wolverhampton,Newcastle,Fulham,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2
Andrew,Surman,MID,BOU,5000000,0,82,5.93157588668631E-27,1.18631517733726E-33,1.64E-05,0,0,2,29,0,0,0,2,0,0,0,0,0,82,0,0,0,0,9,0,5,0,5,0.6,0,0,0,0,0,1851,0,0,0,363,Cardiff City,West Ham,Everton,Chelsea,Leicester,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Markus,Suttner,DEF,BHA,4000000,0,38,2.74877906944E-27,6.8719476736E-34,9.5E-06,0,0,0,18,0,0,0,0,0,0,0,0,0,38,0,0,0,0,3,0,4,0,0,5.4,0,0,0,0,0,1178,0,0,0,204,Watford,Man Utd,Liverpool,Fulham,Southampton,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8
James,Tarkowski,DEF,BUR,5000000,0,101,2.65789473684211,5.31578947368421E-07,2.02E-05,0,0,5,30,0,0,0,0,0,0,0,0,0,101,0,0,0,0,4,0,11,0,1,7.9,0,0,0,0,0,2790,0,0,0,539,Southampton,Watford,Fulham,Man Utd,Wolverhampton,2.4,3.1,3.3,2.6,3.3,2.4,3.3,2.5,1.9,2.9,2,1.8,2.5,2.2,2.7,3.1,2.2,1.9,2.8,2.5,2,3.8,2.5,2,2.9,2.6,2.7,1.9,2.8,2.2,2.3,3.8,1.9,3.8,2.4,2.4,2.2,2.4,117.8
Charlie,Taylor,DEF,BUR,4500000,0,23,1.66373469992421E-27,3.6971882220538E-34,5.11111111111111E-06,0,0,3,12,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0.2,0,0,0,0,0,949,0,0,0,132,Southampton,Watford,Fulham,Man Utd,Wolverhampton,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5
James,Tomkins,DEF,CRY,4500000,0,99,2.60526315789474,5.78947368421053E-07,2.2E-05,0,0,8,32,0,0,0,3,0,0,0,0,0,99,0,0,0,0,9,0,9,0,0,11.6,0,0,0,0,0,2386,0,0,0,512,Fulham,Liverpool,Watford,Southampton,Huddersfield,3.2,2.6,2.5,2.8,1.9,2.4,1.8,3.7,2.2,2.3,2.3,2.6,2,2.5,2.5,1.9,2.3,1.8,3.7,2.9,3.2,3,2.1,2.3,3.7,2.4,1.8,2.5,2,3,2.1,2.4,1.9,2.3,1.8,2.7,3.2,2.3,104.7
